Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
50,ActinAFool,,0,2,2,0,2,2,5,0.311568,0.331933,0,0.007828,0.007828,21,0.000085,0,1,1,0
51,Action,,2,2,4,2,2,4,4,0.359649,0.37325,0,0.010934,0.010934,20,0.000146,0,1,6,0.051518
52,activities,,1,3,4,1,3,4,6,0.261733,0.267875,0,0.000443,0.000443,20,0.000134,0,1,6,0.002502
53,actor,,8,0,8,8,0,8,5,0.309002,0.319889,0,0.006684,0.006684,35,0.000284,0,1,28,0.050967
54,ActorLife,,4,4,8,4,4,8,5,0.317169,0.33741,0.000002,0.009536,0.009536,21,0.000268,0,0.785714,22,0.068477
55,actsoftheday,,1,0,1,1,0,1,4,0.352407,0.363765,0,0.00745,0.00745,20,0.000113,0,0,0,0.048919
56,ACUAPARK,,0,4,4,0,4,4,5,0.32895,0.346853,0,0.0111,0.0111,35,0.000085,0,1,6,0
57,adaytoremember,,7,0,7,7,0,7,5,0.31311,0.329976,0,0.009261,0.009261,29,0.000334,0,1,21,0.056805
58,addtothebucketlist,,1,0,1,1,0,1,4,0.352407,0.363765,0,0.00745,0.00745,20,0.000113,0,0,0,0.048919
59,ADesignForLife,,0,1,1,0,1,1,5,0.308937,0.324213,0,0.00282,0.00282,67,0.000085,0,0,0,0
60,adorable,,0,2,2,0,2,2,5,0.300448,0.310927,0,0.003257,0.003257,1,0.000085,0,1,1,0
61,adoro,,0,1,1,0,1,1,5,0.29249,0.301171,0,0.001528,0.001528,5,0.000085,0,0,0,0
62,ads,,2,1,3,2,1,3,5,0.294944,0.304536,0,0.00168,0.00168,59,0.000133,0,1,3,0.00145
63,adtr,,6,1,7,6,1,7,5,0.31311,0.329976,0,0.009261,0.009261,29,0.00018,0,1,21,0.053839
64,AdultWork,,0,1,1,0,1,1,5,0.293284,0.304867,0,0.002065,0.002065,67,0.000085,0,0,0,0
65,adventures,,5,5,10,5,5,10,6,0.295574,0.310306,0.000118,0.008065,0.008065,52,0.000165,0,0.488889,22,0.012513
66,advice,,0,1,1,0,1,1,6,0.266908,0.275738,0,0.002138,0.002138,26,0.000085,0,0,0,0
67,aerialPhoto,,2,0,2,2,0,2,5,0.299513,0.306655,0,0.001775,0.001775,20,0.000125,0,1,1,0.010439
68,AFC,,0,16,16,0,16,16,5,0.330917,0.342762,0,0.017471,0.017471,3,0.000085,0,1,120,0
69,Afghanistan,,0,1,1,0,1,1,5,0.267311,0.273442,0,0.000413,0.000413,20,0.000085,0,0,0,0
70,afldeesdogs,,2,1,3,2,1,3,4,0.352464,0.363991,0,0.007829,0.007829,20,0.000162,0,1,3,0.051518
71,aflwomensround,,3,0,3,3,0,3,4,0.352464,0.363991,0,0.007829,0.007829,20,0.000299,0,1,3,0.054245
72,AFRAM,,0,4,4,0,4,4,5,0.310737,0.327142,0,0.006557,0.006557,29,0.000085,0,1,6,0
73,African,,0,6,6,0,6,6,4,0.368478,0.384316,0.000163,0.013999,0.013999,68,0.000085,0,0.733333,11,0
