Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
942,DarkAngel,,0,2,2,0,2,2,5,0.311568,0.331933,0,0.007828,0.007828,21,0.000085,0,1,1,0
943,dashforgas,,0,3,3,0,3,3,5,0.267359,0.273705,0.000427,0.000423,0.000423,20,0.000085,0,0.333333,1,0
944,date,,1,0,1,1,0,1,5,0.293284,0.304867,0,0.002065,0.002065,67,0.000104,0,0,0,0.017451
945,DateKrumm,,1,1,2,1,1,2,5,0.293303,0.30498,0,0.002117,0.002117,67,0.000121,0,1,1,0.000584
946,daughter,,0,1,1,0,1,1,5,0.310584,0.321921,0,0.002954,0.002954,20,0.000085,0,0,0,0
947,day,,22,25,47,22,25,47,5,0.380609,0.404178,0.001725,0.046818,0.046818,1,0.000408,0,0.26087,282,0.070257
948,day1,,0,4,4,0,4,4,5,0.311612,0.332159,0,0.008237,0.008237,21,0.000085,0,1,6,0
949,Day3,,1,1,2,1,1,2,5,0.310606,0.322034,0,0.003027,0.003027,20,0.000121,0,1,1,0.000584
950,Day4,,1,2,3,1,2,3,4,0.353082,0.364819,0,0.008907,0.008907,20,0.000114,0,1,3,0.003002
951,Day6,,0,1,1,0,1,1,5,0.293284,0.304867,0,0.002065,0.002065,67,0.000085,0,0,0,0
952,dayoff,,4,1,5,4,1,5,5,0.315857,0.328181,0,0.005025,0.005025,67,0.00015,0,1,10,0.03766
953,daysofwonder,,1,0,1,1,0,1,5,0.311546,0.33182,0,0.007638,0.007638,21,0.000149,0,0,0,0.058409
954,daysorted,,3,0,3,3,0,3,5,0.31978,0.338893,0,0.006004,0.006004,67,0.000146,0,1,3,0.056463
955,daytona,,0,9,9,0,9,9,5,0.305548,0.316994,0,0.003202,0.003202,67,0.000085,0,1,36,0
956,DBSC,,2,0,2,2,0,2,5,0.291239,0.300324,0,0.001418,0.001418,4,0.000225,0,1,1,0.014396
957,DCC,,0,1,1,0,1,1,5,0.308937,0.324213,0,0.00282,0.00282,67,0.000085,0,0,0,0
958,dco,,3,2,5,3,2,5,5,0.32087,0.331523,0,0.006515,0.006515,29,0.000161,0,1,10,0.015206
959,De,,8,2,10,8,2,10,5,0.327128,0.342882,0,0.011756,0.011756,26,0.000241,0,1,45,0.069738
960,dead,,3,1,4,3,1,4,5,0.311612,0.332159,0,0.008237,0.008237,21,0.000273,0,1,6,0.064798
961,Debt,,3,1,4,3,1,4,4,0.352492,0.364103,0,0.008034,0.008034,20,0.000207,0,1,6,0.054245
962,decisionsdecisions,,1,4,5,1,4,5,4,0.359211,0.372836,0.000165,0.008446,0.008446,64,0.000109,0,0.5,5,0.000584
963,Deckhand,,0,2,2,0,2,2,5,0.311568,0.331933,0,0.007828,0.007828,21,0.000085,0,1,1,0
964,decor,,1,5,6,1,5,6,6,0.26851,0.278271,0.000001,0.002514,0.002514,4,0.000119,0,0.866667,13,0.016367
965,decorating,,2,4,6,2,4,6,6,0.26851,0.278271,0.000001,0.002514,0.002514,4,0.000139,0,0.866667,13,0.0176
966,DeCorazon,,1,2,3,1,2,3,5,0.291258,0.300437,0,0.001454,0.001454,4,0.000122,0,1,3,0.01327
967,Dedication,,1,0,1,1,0,1,5,0.308937,0.324213,0,0.00282,0.00282,67,0.000106,0,0,0,0.026071
968,Deep,,1,0,1,1,0,1,1,1,1,0,0,0,53,0.000157,19,0,0,0.000584
969,defoThere,,3,0,3,3,0,3,5,0.265579,0.271274,0,0.00052,0.00052,20,0.000331,0,1,3,0.005945
970,deja,,2,0,2,2,0,2,5,0.308959,0.324326,0,0.002891,0.002891,67,0.000197,0,1,1,0.027756
971,delasmejoresexperiencias,,3,0,3,3,0,3,5,0.310715,0.327029,0,0.006198,0.006198,68,0.000309,0,1,3,0.044083
972,DENCH,,2,14,16,2,14,16,5,0.330917,0.342762,0,0.017471,0.017471,3,0.000118,0,1,120,0.027643
973,denhaag,,5,0,5,5,0,5,5,0.310759,0.327255,0,0.006726,0.006726,68,0.000438,0,1,10,0.047345
974,denim,,3,3,6,3,3,6,5,0.327539,0.341923,0,0.009239,0.009239,68,0.000154,0,1,15,0.056036
975,dentist,,6,5,11,6,5,11,4,0.353844,0.365929,0,0.010817,0.010817,33,0.000169,0,1,55,0.009592
976,denver,,0,12,12,0,12,12,5,0.339675,0.35029,0.000357,0.011992,0.011992,26,0.000085,0,0.848485,56,0
977,DepecheMode,,1,1,2,1,1,2,4,0.352464,0.363915,0,0.00772,0.00772,20,0.000113,0,1,1,0.048919
978,depressing,,2,0,2,3,0,3,4,0.352464,0.363915,0.000427,0.007454,0.007454,20,0.000214,0,0,0,0.049503
979,DeResta,,4,1,5,4,1,5,5,0.309802,0.325455,0,0.003508,0.003508,20,0.000196,0,1,10,0.031597
980,Desconcert29J,,1,0,1,1,0,1,5,0.310671,0.326803,0,0.005897,0.005897,68,0.000117,0,0,0,0.039488
981,desertproblems,,0,5,5,0,5,5,5,0.282632,0.293635,0,0.000845,0.000845,64,0.000085,0,1,10,0
982,design,,13,9,22,13,9,22,5,0.345075,0.358785,0.000285,0.024042,0.024042,35,0.000456,0,0.398268,92,0.109281
983,desperate,,3,4,7,3,4,7,5,0.302273,0.313712,0,0.002492,0.002492,64,0.000244,0,1,21,0.024525
984,despicableme2,,1,0,1,1,0,1,5,0.308937,0.324213,0,0.00282,0.00282,67,0.000106,0,0,0,0.026071
985,desserts,,2,8,10,2,9,11,5,0.309196,0.320178,0.000029,0.007728,0.007728,26,0.000158,0,0.6,27,0.020127
986,destroythem,,1,0,1,1,0,1,5,0.308937,0.324213,0,0.00282,0.00282,67,0.000106,0,0,0,0.026071
987,detail,,5,6,11,5,6,11,5,0.335964,0.346308,0,0.014583,0.014583,35,0.000228,0,1,55,0.064553
988,Detailing,,1,0,1,1,0,1,4,0.352407,0.363765,0,0.00745,0.00745,20,0.000113,0,0,0,0.048919
989,devon,,0,6,6,0,6,6,5,0.292896,0.300595,0.000065,0.001564,0.001564,5,0.000085,0,0.733333,11,0
990,DF13,,2,2,4,2,2,4,5,0.31078,0.327217,0,0.006735,0.006735,68,0.000184,0,1,6,0.043186
991,DGSC,,1,1,2,1,1,2,5,0.291239,0.300324,0,0.001418,0.001418,4,0.000122,0,1,1,0.01327
992,diabetes,,9,2,11,9,2,11,4,0.353844,0.365929,0,0.010817,0.010817,33,0.000269,0,1,55,0.060969
993,DiamondLeague,,6,0,6,6,0,6,5,0.294063,0.306673,0.000019,0.003861,0.003861,67,0.000273,0,0.466667,7,0.036306
994,diaryofastylist,,3,1,4,3,1,4,4,0.368417,0.38409,0,0.014356,0.014356,68,0.000178,0,1,6,0.059147
995,DidAthleticsForTheEyeCandy,,1,1,2,1,1,2,5,0.311568,0.331933,0,0.007828,0.007828,21,0.000149,0,1,1,0.058409
996,didnotdrinkenough,,2,0,2,2,0,2,5,0.291124,0.301984,0,0.001114,0.001114,64,0.000168,0,1,1,0.015731
997,dieantwoord,,3,5,8,3,5,8,5,0.331016,0.347787,0,0.014996,0.014996,1,0.000156,0,1,28,0.044373
998,dieng,,0,2,2,0,2,2,5,0.310693,0.326916,0,0.006094,0.006094,68,0.000085,0,1,1,0
999,diet,,0,2,2,0,2,2,5,0.282578,0.293296,0,0.000782,0.000782,64,0.000085,0,1,1,0
1000,DifferentBreed,,1,0,1,1,0,1,1,1,1,0,0,0,49,0.000157,20,0,0,0.000584
1001,diffractionglasses,,0,2,2,0,2,2,5,0.310693,0.326916,0,0.006044,0.006044,68,0.000085,0,1,1,0
1002,Digi,,0,1,1,0,1,1,5,0.310584,0.321921,0,0.002954,0.002954,20,0.000085,0,0,0,0
1003,DigiBhang,,3,5,8,3,5,8,5,0.310846,0.319125,0,0.002662,0.002662,4,0.000149,0,1,28,0.015044
1004,digital,,2,12,14,2,12,14,4,0.363249,0.377371,0.000204,0.015822,0.015822,59,0.000127,0,0.582418,53,0.053949
1005,Dignity,,1,3,4,1,3,4,5,0.311612,0.332159,0,0.008237,0.008237,21,0.000103,0,1,6,0.000584
1006,Dinner,,17,13,30,17,13,30,5,0.350788,0.373814,0.000379,0.036706,0.036706,26,0.001114,0,0.35468,144,0.16792
1007,DINOSAURJR,,3,3,6,3,3,6,4,0.355007,0.367416,0.000052,0.010103,0.010103,20,0.000153,0,0.6,9,0.064495
1008,dinosaurs,,1,0,1,1,0,1,1,1,1,0,0,0,45,0.000157,21,0,0,0.000584
1009,Directioner,,2,1,3,2,1,3,5,0.317533,0.329731,0,0.004594,0.004594,5,0.000134,0,1,3,0.032919
1010,diren��z�m,,10,1,11,14,1,15,5,0.318263,0.32602,0,0.004498,0.004498,20,0.000432,0,1,45,0.029459
1011,DIRETTA,,0,8,8,0,8,8,5,0.317852,0.32893,0,0.005186,0.005186,67,0.000085,0,1,28,0
1012,dirt,,1,4,5,1,4,5,4,0.353505,0.365534,0,0.008872,0.008872,20,0.0001,0,1,10,0.000584
1013,dirtyphonics,,4,2,6,4,2,6,5,0.335302,0.353226,0,0.015808,0.015808,29,0.000206,0,1,15,0.021882
1014,DisabledDog,,3,1,4,3,1,4,5,0.303454,0.311811,0,0.001639,0.001639,20,0.00017,0,1,6,0.012665
1015,disaster,,3,0,3,3,0,3,5,0.318401,0.338144,0,0.009539,0.009539,20,0.000179,0,1,3,0.068378
1016,discipline,,1,1,2,1,1,2,5,0.308959,0.324326,0,0.002891,0.002891,67,0.000106,0,1,1,0.026071
1017,disclosure,,4,0,4,4,0,4,4,0.356694,0.36926,0,0.011306,0.011306,29,0.000255,0,1,6,0.07642
1018,disco,,3,0,3,3,0,3,4,0.361853,0.374059,0,0.013097,0.013097,20,0.000154,0,1,3,0.083794
1019,DiscoIsBack,,3,0,3,3,0,3,4,0.35424,0.365797,0,0.009074,0.009074,20,0.000143,0,1,3,0.057628
1020,discotogs,,1,1,2,1,1,2,5,0.310606,0.322034,0,0.003027,0.003027,20,0.000121,0,1,1,0.000584
1021,discounts,,2,2,4,2,2,4,5,0.300979,0.310949,0,0.003371,0.003371,59,0.000132,0,1,6,0.001232
1022,DisneyChannel,,0,4,4,0,4,4,5,0.307949,0.318334,0,0.002391,0.002391,64,0.000085,0,1,6,0
1023,ditching,,1,2,3,1,2,3,5,0.32359,0.342871,0,0.010769,0.010769,3,0.000109,0,1,3,0.000584
1024,diva,,0,12,12,0,12,12,5,0.32199,0.335279,0.000175,0.008689,0.008689,52,0.000085,0,0.484848,32,0
1025,diy,,4,0,4,4,0,4,5,0.310911,0.327443,0,0.006733,0.006733,68,0.000278,0,1,6,0.045992
1026,dizeerascal,,1,2,3,1,2,3,4,0.35424,0.366362,0,0.009365,0.009365,20,0.000107,0,1,3,0.00251
1027,dizzee,,1,5,6,1,5,6,5,0.33515,0.348152,0.000427,0.009437,0.009437,68,0.000113,0,0.666667,10,0.006799
1028,dizzeerascal,,2,0,2,2,0,2,4,0.353026,0.364668,0,0.00851,0.00851,20,0.000161,0,1,1,0.059289
1029,dj,,9,4,13,10,4,14,5,0.336858,0.351231,0.000035,0.013968,0.013968,35,0.000588,0,0.551282,43,0.057046
1030,djangodjango,,0,1,1,0,1,1,4,0.352407,0.363765,0,0.00745,0.00745,20,0.000085,0,0,0,0
1031,djgonzo,,3,2,5,3,2,5,5,0.316444,0.326893,0,0.004858,0.004858,26,0.000147,0,1,10,0.004915
1032,Djokovic,,6,1,7,6,1,7,5,0.325206,0.333744,0.00003,0.004499,0.004499,67,0.00042,0,0.47619,10,0.04171
1033,djs,,5,2,7,5,2,7,5,0.330152,0.338321,0,0.006708,0.006708,1,0.000175,0,1,21,0.019599
1034,djstillz,,1,1,2,1,1,2,5,0.311568,0.331933,0,0.007828,0.007828,21,0.000121,0,1,1,0.000584
1035,dl2013,,0,4,4,0,4,4,5,0.330201,0.343673,0,0.008655,0.008655,35,0.000085,0,1,6,0
1036,dms,,1,7,8,1,7,8,5,0.322365,0.331203,0,0.008055,0.008055,26,0.000094,0,1,28,0.000584
1037,DoctorWho,,2,0,2,2,0,2,4,0.354637,0.366625,0,0.008951,0.008951,20,0.00013,0,1,1,0.059491
1038,DodgyAccent,,2,0,2,2,0,2,4,0.352548,0.364028,0,0.008124,0.008124,5,0.000147,0,1,1,0.056437
1039,d�dkille_90,,0,1,1,0,1,1,5,0.310671,0.326803,0,0.005897,0.005897,68,0.000085,0,0,0,0
1040,dodo,,0,8,8,0,8,8,5,0.331016,0.347787,0,0.014996,0.014996,1,0.000085,0,1,28,0
1041,dog,,3,12,15,3,12,15,5,0.33477,0.348299,0.002064,0.006347,0.006347,52,0.000204,0,0.228571,24,0.016914
1042,dogblood,,0,2,2,0,2,2,4,0.352436,0.363878,0,0.007635,0.007635,20,0.000085,0,1,1,0
1043,doglover,,1,4,5,1,4,5,5,0.311633,0.332272,0,0.008494,0.008494,21,0.0001,0,1,10,0.000584
1044,Dogs,,3,13,16,3,13,16,5,0.330917,0.342762,0,0.017471,0.017471,3,0.000125,0,1,120,0.029285
1045,Doh,,1,0,1,1,0,1,1,1,1,0,0,0,15,0.000157,22,0,0,0.000584
1046,Doha,,2,1,3,2,1,3,5,0.30104,0.310799,0,0.002969,0.002969,59,0.000362,0,1,3,0.003249
1047,doinitbigzaddystyle,,3,0,3,3,0,3,5,0.310628,0.319456,0,0.004212,0.004212,21,0.000218,0,1,3,0.021604
1048,DoItForAu,,2,0,2,2,0,2,1,1,1,0,0,0,23,0.000224,23,1,1,0.001232
1049,DoItForYourParentsYourSchool,,0,2,2,0,2,2,1,1,1,0,0,0,23,0.000085,23,1,1,0
1050,doiwannaknow,,2,0,2,2,0,2,5,0.292548,0.301359,0,0.001837,0.001837,5,0.000124,0,1,1,0.012661
1051,doll,,0,9,9,0,9,9,5,0.3248,0.345145,0,0.014453,0.014453,35,0.000085,0,1,36,0
1052,domeafavour,,1,0,1,1,0,1,4,0.352407,0.363765,0,0.00745,0.00745,20,0.000113,0,0,0,0.048919
1053,dominator,,3,3,6,3,3,6,4,0.352772,0.36463,0,0.008823,0.008823,68,0.000135,0,1,15,0.051638
1054,Domino,,0,2,2,0,2,2,5,0.310606,0.322034,0,0.003027,0.003027,20,0.000085,0,1,1,0
1055,doncasterisgreat,,0,3,3,0,3,3,5,0.272828,0.279505,0,0.000619,0.000619,5,0.000085,0,1,3,0
1056,dontbeleiveinmagic,,3,0,3,3,0,3,5,0.310323,0.320058,0,0.003573,0.003573,1,0.000347,0,1,3,0.031964
1057,dontevencare,,0,2,2,0,2,2,4,0.352436,0.363878,0,0.007635,0.007635,20,0.000085,0,1,1,0
1058,dontjudgeme,,9,5,14,9,5,14,5,0.357327,0.37547,0.001327,0.021113,0.021113,35,0.000361,0,0.681319,62,0.127363
1059,DontMindIfIDo,,2,0,2,2,0,2,5,0.310606,0.322034,0,0.003027,0.003027,20,0.000152,0,1,1,0.024504
1060,doomandgloom,,0,2,2,0,2,2,1,1,1,0,0,0,24,0.000085,24,1,1,0
1061,doors,,3,1,4,3,1,4,5,0.277235,0.285208,0,0.000837,0.000837,20,0.000189,0,1,6,0.001946
1062,dopapod,,0,6,6,0,6,6,5,0.34201,0.357468,0,0.013603,0.013603,29,0.000085,0,1,15,0
1063,dope,,4,6,10,4,6,10,5,0.342089,0.357806,0.00004,0.014069,0.014069,29,0.000205,0,0.583333,21,0.042959
1064,dorishopp,,6,0,6,6,0,6,5,0.31078,0.327368,0,0.006711,0.006711,68,0.000531,0,1,15,0.050021
1065,double,,2,0,2,2,0,2,5,0.293303,0.30498,0,0.002117,0.002117,67,0.000192,0,1,1,0.018742
1066,downfall,,3,1,4,3,1,4,5,0.282614,0.293522,0,0.000823,0.000823,64,0.000202,0,1,6,0.014723
1067,downonthefarm,,1,1,2,1,1,2,4,0.352464,0.363915,0,0.007899,0.007899,20,0.000105,0,1,1,0.001041
1068,downtonabbey,,1,1,2,1,1,2,4,0.352436,0.363878,0,0.007661,0.007661,20,0.000113,0,1,1,0.048919
1069,downtown,,0,3,3,0,3,3,5,0.317101,0.336826,0,0.008639,0.008639,35,0.000085,0,1,3,0
1070,downunder,,1,1,2,1,1,2,5,0.317124,0.331402,0,0.003692,0.003692,67,0.000106,0,1,1,0.026071
1071,downwiththekids,,0,1,1,0,1,1,4,0.352407,0.363765,0,0.00745,0.00745,20,0.000085,0,0,0,0
1072,DR,,3,1,4,3,1,4,5,0.320382,0.335336,0,0.007104,0.007104,35,0.000142,0,1,6,0.041162
1073,dragonflies,,1,3,4,1,3,4,5,0.32783,0.337056,0,0.004776,0.004776,59,0.00011,0,1,6,0.015964
1074,drain,,1,1,2,1,1,2,5,0.282578,0.293296,0,0.000782,0.000782,64,0.000121,0,1,1,0.000584
1075,DrakeTaughtMe,,0,1,1,0,1,1,4,0.352407,0.363765,0,0.00745,0.00745,20,0.000085,0,0,0,0
1076,dream,,13,3,16,13,3,16,4,0.374398,0.390507,0.000338,0.027015,0.027015,1,0.000533,0,0.47619,50,0.18629
1077,Dreamfields,,8,4,12,9,4,13,5,0.324919,0.340643,0.000008,0.012304,0.012304,68,0.000313,0,0.527273,29,0.073112
1078,Dreams,,1,0,1,1,0,1,5,0.299898,0.311544,0,0.003395,0.003395,29,0.000114,0,0,0,0.023607
1079,dreary,,1,1,2,1,1,2,5,0.299149,0.307641,0,0.001538,0.001538,20,0.000102,0,1,1,0.010572
1080,Dress,,3,23,26,3,24,27,5,0.352436,0.369806,0.000319,0.031474,0.031474,26,0.000124,0,0.430769,140,0.002758
1081,dresses,,3,9,12,3,9,12,5,0.349487,0.364931,0,0.022725,0.022725,35,0.000137,0,1,66,0.016984
1082,drink,,16,10,26,16,10,26,5,0.391754,0.41195,0.003258,0.030356,0.030356,3,0.00039,0,0.316923,103,0.151607
1083,drinking,,5,2,7,5,2,7,5,0.319919,0.340854,0,0.011496,0.011496,21,0.000258,0,1,21,0.084762
1084,Drinks,,30,27,57,32,28,60,5,0.388694,0.410238,0.002533,0.062281,0.062281,35,0.001237,0,0.19986,286,0.204599
1085,driveins,,0,2,2,0,2,2,5,0.311568,0.331933,0,0.008003,0.008003,21,0.000085,0,1,1,0
1086,driver,,1,3,4,1,3,4,5,0.291911,0.303324,0,0.0012,0.0012,26,0.000096,0,1,6,0.001608
1087,driving,,6,2,8,6,2,8,5,0.292799,0.304257,0,0.001312,0.001312,64,0.000265,0,1,28,0.008456
1088,drmartens,,2,6,8,2,6,8,5,0.322365,0.331203,0,0.008055,0.008055,26,0.000106,0,1,28,0.001232
1089,drsheldoncooper,,0,3,3,0,3,3,5,0.293323,0.302887,0,0.001438,0.001438,59,0.000085,0,1,3,0
1090,DrumNBass,,6,2,8,6,2,8,5,0.310846,0.319125,0,0.002662,0.002662,4,0.000238,0,1,28,0.023471
1091,drums,,9,1,10,9,1,10,5,0.321242,0.341249,0,0.011861,0.011861,29,0.000363,0,1,45,0.080488
1092,drunk,,25,32,57,25,32,57,5,0.375318,0.396925,0.00151,0.052191,0.052191,3,0.000604,0,0.184512,274,0.178669
1093,drunkkx,,0,2,2,0,2,2,5,0.311568,0.331933,0,0.007828,0.007828,21,0.000085,0,1,1,0
1094,drunknight,,2,0,2,2,0,2,5,0.300448,0.310927,0,0.003257,0.003257,1,0.000228,0,1,1,0.028465
1095,dtv,,1,1,2,1,1,2,4,0.358513,0.371424,0,0.009515,0.009515,20,0.000113,0,1,1,0.048919
1096,DualShock,,0,3,3,0,3,3,5,0.298947,0.308623,0,0.002888,0.002888,26,0.000085,0,1,3,0
1097,dubai,,2,5,7,2,5,7,5,0.364865,0.382121,0.000799,0.015672,0.015672,35,0.000118,0,0.714286,15,0.026655
1098,dublin2003,,1,0,1,1,0,1,5,0.311546,0.33182,0,0.007638,0.007638,21,0.000149,0,0,0,0.058409
1099,dubpistols,,1,0,1,1,0,1,5,0.290608,0.297809,0,0.001259,0.001259,20,0.000097,0,0,0,0.007816
1100,Dubstep,,10,8,18,10,8,18,4,0.389138,0.406786,0.001163,0.024242,0.024242,4,0.000386,0,0.346405,53,0.113681
1101,duck,,5,2,7,5,2,7,5,0.305127,0.315108,0,0.003972,0.003972,26,0.000196,0,1,21,0.006976
1102,ducksonthepond,,5,0,5,5,0,5,5,0.311721,0.32701,0,0.003207,0.003207,67,0.00038,0,1,10,0.032149
1103,Duet,,6,1,7,6,1,7,5,0.295653,0.305608,0,0.001712,0.001712,59,0.000452,0,1,21,0.022698
1104,dumbeddownBritain,,0,1,1,0,1,1,5,0.267311,0.273442,0,0.000413,0.000413,20,0.000085,0,0,0,0
1105,dungarees,,4,6,10,4,6,10,5,0.320568,0.336126,0,0.008298,0.008298,68,0.000153,0,1,45,0.044868
1106,dust,,7,4,11,7,4,11,5,0.322013,0.328963,0,0.003134,0.003134,4,0.000257,0,1,55,0.022442
1107,DustySpringfield,,2,0,2,2,0,2,5,0.322788,0.332174,0,0.003217,0.003217,20,0.00018,0,1,1,0.02555
1108,Dutch,,0,4,4,0,4,4,5,0.310737,0.327142,0,0.00636,0.00636,68,0.000085,0,1,6,0
1109,duvet,,1,1,2,1,1,2,5,0.308959,0.324326,0,0.002891,0.002891,67,0.000106,0,1,1,0.026071
1110,dying,,0,5,5,0,5,5,5,0.282632,0.293635,0,0.000842,0.000842,64,0.000085,0,0.7,7,0
1111,E3NewCoverV,,2,0,2,2,0,2,6,0.257847,0.264713,0,0.000388,0.000388,26,0.000144,0,1,1,0.005526
1112,E3Video,,0,2,2,0,2,2,6,0.257847,0.264713,0,0.000388,0.000388,26,0.000085,0,1,1,0
1113,eargasm,,3,5,8,3,5,8,5,0.33673,0.350666,0,0.01315,0.01315,35,0.000153,0,1,28,0.045797
1114,earlier,,1,11,12,1,11,12,5,0.328804,0.338027,0,0.01249,0.01249,68,0.000094,0,1,66,0.005953
1115,early2000s,,1,1,2,1,1,2,5,0.311568,0.331933,0,0.007828,0.007828,21,0.000149,0,1,1,0.058409
1116,earlymorning,,1,0,1,1,0,1,5,0.311546,0.33182,0,0.007638,0.007638,21,0.000149,0,0,0,0.058409
1117,earlypints,,2,1,3,2,1,3,5,0.308981,0.324439,0,0.002964,0.002964,67,0.000131,0,1,3,0.026655
1118,earnit,,1,0,1,1,0,1,5,0.308937,0.324213,0,0.00282,0.00282,67,0.000106,0,0,0,0.026071
1119,East,,1,9,10,1,9,10,5,0.340249,0.353527,0.000104,0.01271,0.01271,59,0.000092,0,0.555556,25,0.002599
1120,EastDevon,,2,0,2,2,0,2,5,0.331611,0.345284,0,0.009025,0.009025,29,0.000146,0,1,1,0.062477
1121,Easy,,0,5,5,0,5,5,6,0.266972,0.276189,0,0.002368,0.002368,26,0.000085,0,1,10,0
1122,easyroutehome,,3,0,3,3,0,3,5,0.299169,0.307754,0,0.001578,0.001578,20,0.000268,0,1,3,0.012665
1123,ebaymobile,,0,6,6,0,6,6,5,0.327539,0.341923,0,0.009239,0.009239,68,0.000085,0,1,15,0
1124,ebook,,2,3,5,2,3,5,5,0.314891,0.323833,0.000068,0.003114,0.003114,4,0.000122,0,0.6,6,0.011863
1125,EC,,5,2,7,5,2,7,5,0.318035,0.325651,0,0.003345,0.003345,4,0.000187,0,1,21,0.016131
1126,ecm,,0,4,4,0,4,4,5,0.326404,0.335498,0,0.00751,0.00751,3,0.000085,0,1,6,0
1127,edbanger10,,1,2,3,1,2,3,5,0.310715,0.327029,0,0.006489,0.006489,68,0.000109,0,1,3,0.000584
1128,EDC,,0,2,2,0,2,2,5,0.298725,0.307645,0,0.001751,0.001751,4,0.000085,0,1,1,0
1129,Edgbaston,,3,1,4,3,1,4,5,0.293342,0.303,0,0.001564,0.001564,59,0.000151,0,1,6,0.002929
1130,edinburgh,,0,1,1,0,1,1,5,0.310671,0.326803,0,0.005897,0.005897,68,0.000085,0,0,0,0
1131,edited,,5,2,7,5,2,7,5,0.319757,0.339502,0,0.009705,0.009705,21,0.000278,0,1,21,0.011642
1132,EDL,,4,4,8,4,4,8,5,0.311963,0.320709,0.000014,0.003121,0.003121,59,0.000203,0,0.619048,13,0.028907
1133,edm,,9,10,19,9,10,19,5,0.348168,0.364141,0.00068,0.015127,0.015127,4,0.000261,0,0.346405,53,0.019432
1134,EdSheeran,,0,2,2,0,2,2,6,0.261702,0.267649,0,0.000421,0.000421,20,0.000085,0,1,1,0
1135,education,,2,0,2,2,0,2,4,0.357068,0.369655,0,0.008817,0.008817,59,0.00015,0,1,1,0.063805
1136,edwardsnowdon,,1,0,1,1,0,1,5,0.267311,0.273442,0,0.000413,0.000413,20,0.00014,0,0,0,0.006017
1137,EE,,0,1,1,0,1,1,4,0.352407,0.363765,0,0.00745,0.00745,20,0.000085,0,0,0,0
1138,eeyer,,0,3,3,0,3,3,5,0.31159,0.332046,0,0.008027,0.008027,21,0.000085,0,1,3,0
1139,EFC,,4,1,5,4,1,5,6,0.258887,0.266776,0,0.000383,0.000383,2,0.000199,0,1,10,0.00273
1140,EFC21,,1,0,1,1,0,1,5,0.311546,0.33182,0,0.007638,0.007638,21,0.000149,0,0,0,0.058409
1141,eggchasers,,1,0,1,1,0,1,5,0.308937,0.324213,0,0.00282,0.00282,67,0.000106,0,0,0,0.026071
1142,eggchasing,,1,0,1,1,0,1,5,0.308937,0.324213,0,0.00282,0.00282,67,0.000106,0,0,0,0.026071
1143,eggchuckers,,1,1,2,1,1,2,5,0.309326,0.324703,0,0.003077,0.003077,67,0.000106,0,1,1,0.026071
1144,eggsbenedict,,0,3,3,0,4,4,5,0.308981,0.324439,0,0.002961,0.002961,67,0.000085,0,0.666667,2,0
1145,Egypt,,1,0,1,1,0,1,5,0.267311,0.273442,0,0.000413,0.000413,20,0.00014,0,0,0,0.006017
1146,eianscollectionofgreenplaces,,0,3,3,0,3,3,4,0.352464,0.363991,0,0.00802,0.00802,20,0.000085,0,1,3,0
1147,Eindhoven,,2,0,2,2,0,2,5,0.310693,0.326916,0,0.006044,0.006044,68,0.000217,0,1,1,0.041728
1148,eitherway,,2,1,3,2,1,3,5,0.31159,0.332046,0,0.008027,0.008027,21,0.000156,0,1,3,0.001232
1149,ELA�OQUEVIENEVOYAIR,,1,0,1,1,0,1,1,1,1,0,0,0,18,0.000157,25,0,0,0.000584
1150,electricforest,,0,9,9,0,9,9,5,0.336219,0.351626,0.000052,0.013361,0.013361,68,0.000085,0,0.472222,17,0
1151,electricpicnic,,1,0,1,1,0,1,5,0.310584,0.321921,0,0.002954,0.002954,20,0.000116,0,0,0,0.02392
1152,electro,,0,1,1,0,1,1,6,0.247665,0.256369,0,0.000302,0.000302,20,0.000085,0,0,0,0
1153,Electronic,,8,11,19,9,11,20,5,0.353448,0.367209,0.000034,0.028083,0.028083,35,0.000284,0,0.532164,91,0.082318
1154,electronicmusic,,2,3,5,2,3,5,5,0.310759,0.327255,0,0.006531,0.006531,68,0.000121,0,1,10,0.001232
1155,Elegance,,1,4,5,1,4,5,6,0.266972,0.276189,0,0.002368,0.002368,26,0.0001,0,1,10,0.000584
1156,ElNumeroUno5,,3,7,10,3,7,10,5,0.318263,0.32602,0,0.004498,0.004498,20,0.000126,0,1,45,0.002595
1157,Elvis,,1,5,6,1,5,6,4,0.355491,0.368037,0.000007,0.01077,0.01077,20,0.000119,0,0.666667,10,0.007518
1158,ElvisCostello,,1,1,2,1,1,2,4,0.359591,0.373024,0,0.010403,0.010403,20,0.000116,0,1,1,0.02392
1159,EmbraceTheFutureOfTennis,,1,0,1,1,0,1,5,0.293284,0.304867,0,0.002065,0.002065,67,0.000104,0,0,0,0.017451
1160,EMC,,2,3,5,2,3,5,5,0.301061,0.313106,0,0.003889,0.003889,52,0.00012,0,1,10,0.024191
1161,emerald,,7,1,8,7,1,8,5,0.273688,0.281346,0,0.000852,0.000852,5,0.000339,0,1,28,0.011237
