Source,Target,Type,Weight
1663,1659,undirected,1
1663,2794,undirected,1
333,4362,undirected,1
28,4196,undirected,1
1589,175,undirected,216
2521,2693,undirected,1
333,3216,undirected,163
2693,1533,undirected,1
2891,3443,undirected,1
2891,2693,undirected,1
2891,2307,undirected,1
3443,2693,undirected,1
3443,2307,undirected,1
2693,2307,undirected,1
893,4196,undirected,1
2693,2845,undirected,1
4051,1312,undirected,1
4051,4208,undirected,1
4051,2711,undirected,1
1312,4208,undirected,1
1312,2711,undirected,5
4208,2711,undirected,1
2554,813,undirected,1
2554,3339,undirected,1
2554,2709,undirected,1
2554,1312,undirected,1
2554,2430,undirected,1
2554,2316,undirected,1
813,3339,undirected,16
813,2709,undirected,15
813,1312,undirected,26
813,2430,undirected,4
813,2316,undirected,2
3339,2709,undirected,35
3339,1312,undirected,29
3339,2430,undirected,3
3339,2316,undirected,2
2709,1312,undirected,155
2709,2430,undirected,29
2709,2316,undirected,8
1312,2430,undirected,31
1312,2316,undirected,1
2430,2316,undirected,12
1663,1386,undirected,1
466,2922,undirected,1
466,2693,undirected,1
2922,2693,undirected,1
1663,1522,undirected,103
2596,3109,undirected,2
2596,1382,undirected,2
2596,1312,undirected,2
2596,2392,undirected,2
3109,1382,undirected,2
3109,1312,undirected,2
3109,2392,undirected,2
1382,1312,undirected,13
1382,2392,undirected,2
1312,2392,undirected,3
2735,4506,undirected,10
2735,1663,undirected,10
4506,1663,undirected,10
1589,190,undirected,42
1589,325,undirected,143
1589,2431,undirected,12
190,325,undirected,12
190,2431,undirected,12
325,2431,undirected,12
4219,47,undirected,1
4219,2693,undirected,1
47,2693,undirected,1
1920,1208,undirected,1
1920,2286,undirected,1
1920,2521,undirected,1
1920,1139,undirected,1
1920,2693,undirected,1
1208,2286,undirected,1
1208,2521,undirected,1
1208,1139,undirected,2
1208,2693,undirected,1
2286,2521,undirected,1
2286,1139,undirected,1
2286,2693,undirected,1
2521,1139,undirected,1
2521,2693,undirected,2
1139,2693,undirected,2
470,1663,undirected,2
470,2572,undirected,1
1663,2572,undirected,20
1134,1822,undirected,1
1134,4196,undirected,1
1822,4196,undirected,1
2409,1663,undirected,1
1589,274,undirected,250
844,1237,undirected,2
844,4387,undirected,2
844,1589,undirected,1
1237,4387,undirected,53
1237,1589,undirected,20
4387,1589,undirected,34
1829,1312,undirected,1
1829,2777,undirected,1
1312,2777,undirected,1
1786,1663,undirected,1
4043,674,undirected,1
4043,813,undirected,1
4043,211,undirected,2
4043,3455,undirected,1
4043,1312,undirected,2
4043,1819,undirected,1
4043,4286,undirected,1
4043,792,undirected,1
674,813,undirected,1
674,211,undirected,1
674,3455,undirected,1
674,1312,undirected,1
674,1819,undirected,1
674,4286,undirected,1
674,792,undirected,1
813,211,undirected,3
813,3455,undirected,1
813,1819,undirected,1
813,4286,undirected,1
813,792,undirected,1
211,3455,undirected,1
211,1312,undirected,2
211,1819,undirected,1
211,4286,undirected,1
211,792,undirected,1
3455,1312,undirected,2
3455,1819,undirected,2
3455,4286,undirected,1
3455,792,undirected,2
1312,1819,undirected,1
1312,4286,undirected,2
1312,792,undirected,1
1819,4286,undirected,1
1819,792,undirected,2
4286,792,undirected,1
2115,3574,undirected,1
2115,2435,undirected,1
2115,412,undirected,1
2115,2481,undirected,1
2115,1663,undirected,1
3574,2435,undirected,1
3574,412,undirected,1
3574,2481,undirected,1
3574,1663,undirected,1
2435,412,undirected,1
2435,2481,undirected,1
2435,1663,undirected,1
412,2481,undirected,1
412,1663,undirected,4
2481,1663,undirected,2
1663,3174,undirected,1
2885,333,undirected,41
1589,2386,undirected,2
1589,503,undirected,2
2386,503,undirected,2
333,29,undirected,41
320,1589,undirected,5
3369,1312,undirected,2
3369,1869,undirected,1
3369,4292,undirected,1
3369,3813,undirected,1
1312,1869,undirected,1
1312,4292,undirected,1
1312,3813,undirected,14
1869,4292,undirected,1
1869,3813,undirected,1
4292,3813,undirected,2
714,533,undirected,1
714,765,undirected,1
714,4277,undirected,1
714,1663,undirected,1
533,765,undirected,1
533,4277,undirected,1
533,1663,undirected,1
765,4277,undirected,1
765,1663,undirected,1
4277,1663,undirected,1
1440,2765,undirected,2
1440,1662,undirected,2
1440,1642,undirected,2
1440,3304,undirected,2
1440,1006,undirected,2
1440,4024,undirected,4
1440,675,undirected,2
1440,676,undirected,2
2765,1663,undirected,2
2765,1662,undirected,2
2765,1642,undirected,2
2765,3304,undirected,2
2765,1006,undirected,2
2765,4024,undirected,2
2765,675,undirected,2
2765,676,undirected,2
1663,1662,undirected,2
1663,1642,undirected,15
1663,3304,undirected,2
1663,1006,undirected,2
1663,4024,undirected,2
1663,675,undirected,2
1663,676,undirected,2
1662,1642,undirected,2
1662,3304,undirected,2
1662,1006,undirected,2
1662,4024,undirected,3
1662,675,undirected,2
1662,676,undirected,2
1642,3304,undirected,2
1642,1006,undirected,2
1642,4024,undirected,2
1642,675,undirected,2
1642,676,undirected,2
3304,1006,undirected,2
3304,4024,undirected,2
3304,675,undirected,2
3304,676,undirected,2
1006,4024,undirected,2
1006,675,undirected,2
1006,676,undirected,2
4024,675,undirected,2
4024,676,undirected,2
675,676,undirected,2
1377,1589,undirected,1
190,333,undirected,2
190,1242,undirected,1
190,4304,undirected,1
333,1242,undirected,1
333,4304,undirected,1
1242,4304,undirected,1
1765,1663,undirected,2
1765,3901,undirected,1
1663,3901,undirected,1
1793,333,undirected,6
1589,3357,undirected,21
340,1589,undirected,1
459,4496,undirected,1
459,1663,undirected,5
4496,1663,undirected,3
2389,1663,undirected,1
2885,1570,undirected,4
2424,2425,undirected,1
333,519,undirected,2
3216,519,undirected,1
3391,1794,undirected,1
3391,3976,undirected,1
3391,3539,undirected,1
3391,1570,undirected,1
1794,3976,undirected,1
1794,3539,undirected,1
1794,1570,undirected,1
3976,3539,undirected,1
3976,1570,undirected,1
3539,1570,undirected,1
1589,890,undirected,2
