Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
3092,pokewmon,3,3,5,0.299939,0.31177,0,0.003568,0.003568,1,0.000216,0,1,3,0.010203
1209,EverybodyDance,3,6,4,0.354438,0.366061,0,0.009639,0.009639,1,0.000209,0,1,3,0.029652
4379,Wiley,3,7,4,0.35962,0.373137,384.558228,0.010481,0.010481,1,0.000214,0,0.666667,2,0.033937
1302,Fencing,3,3,5,0.30104,0.310799,0,0.002969,0.002969,1,0.000213,0,1,3,0.0082
1046,Doha,3,3,5,0.30104,0.310799,0,0.002969,0.002969,1,0.000213,0,1,3,0.0082
368,beautifulweather,3,3,5,0.31402,0.334248,0,0.008643,0.008643,1,0.000213,0,1,3,0.024169
2480,luvmyjob,3,3,5,0.31402,0.334248,0,0.008643,0.008643,1,0.000213,0,1,3,0.024169
2965,oxford,3,3,5,0.327709,0.337323,0,0.009756,0.009756,1,0.000209,0,1,3,0.022393
4264,wannabethere,3,8,4,0.352632,0.364216,1387.23946,0.007847,0.007847,1,0.000214,0,0.666667,2,0.024981
2195,klk,3,3,5,0.317056,0.336789,0,0.008981,0.008981,1,0.00021,0,1,3,0.024641
2245,lastnight,3,3,6,0.276681,0.286807,0,0.002484,0.002484,1,0.000213,0,1,3,0.006961
4232,vodkaninjas,3,3,6,0.276681,0.286807,0,0.002484,0.002484,1,0.000213,0,1,3,0.006961
4017,ticketsplease,3,3,4,0.352464,0.363991,0,0.007829,0.007829,1,0.00021,0,1,3,0.024982
177,ArcticMonkeysTickets,3,3,5,0.295792,0.303346,0,0.001224,0.001224,1,0.000212,0,1,3,0.004352
3528,SheffieldMotorpointArena,3,3,5,0.295792,0.303346,0,0.001224,0.001224,1,0.000212,0,1,3,0.004352
1055,doncasterisgreat,3,6,5,0.272828,0.279505,0,0.000619,0.000619,1,0.000214,0,1,3,0.002719
3373,rotherham,3,6,5,0.272828,0.279505,0,0.000619,0.000619,1,0.000214,0,1,3,0.002719
4164,UkNews,3,5,4,0.352829,0.364423,2627.496821,0.007702,0.007702,1,0.000215,0,0.333333,1,0.024587
3946,thatsheethurttt,3,3,5,0.31159,0.332046,0,0.008037,0.008037,1,0.000212,0,1,3,0.022886
627,Calinight,3,3,5,0.314958,0.324676,0,0.005812,0.005812,1,0.000212,0,1,3,0.01367
2600,Midnightsnack,3,3,5,0.314958,0.324676,0,0.005812,0.005812,1,0.000212,0,1,3,0.01367
3945,thatsheethu,3,3,5,0.31159,0.332046,0,0.008037,0.008037,1,0.000212,0,1,3,0.022886
895,Crush,3,3,5,0.322365,0.341189,0,0.008981,0.008981,1,0.000209,0,1,3,0.024935
2606,mikeyv1234,3,3,6,0.26694,0.275964,0,0.002333,0.002333,1,0.000213,0,1,3,0.006633
3518,shariandmike,3,3,6,0.26694,0.275964,0,0.002333,0.002333,1,0.000213,0,1,3,0.006633
3648,soblessed,3,3,5,0.279263,0.287922,0,0.00199,0.00199,1,0.00021,0,1,3,0.005864
417,bestoftheday,3,6,5,0.305022,0.313904,0,0.002411,0.002411,1,0.00021,0,1,3,0.007399
3576,Sillyseason,3,3,5,0.311239,0.32273,0,0.003118,0.003118,1,0.000214,0,1,3,0.010927
2633,Mkhitaryan,3,3,5,0.311239,0.32273,0,0.003118,0.003118,1,0.000214,0,1,3,0.010927
570,brother,3,3,5,0.298604,0.307532,0,0.003083,0.003083,1,0.000209,0,1,3,0.007939
4052,tomorrowland2013,3,3,5,0.310824,0.327217,0,0.006581,0.006581,1,0.00021,0,1,3,0.018809
2455,LoveThisCity,3,3,6,0.26694,0.275964,0,0.002247,0.002247,1,0.000216,0,1,3,0.006397
2621,Minneapolis,3,3,6,0.26694,0.275964,0,0.002247,0.002247,1,0.000216,0,1,3,0.006397
2681,Moving,3,3,6,0.26694,0.275964,0,0.002247,0.002247,1,0.000216,0,1,3,0.006397
471,blinertv,3,3,5,0.304581,0.315963,0,0.00373,0.00373,1,0.000213,0,1,3,0.010626
3774,stream,3,4,5,0.304581,0.315963,0,0.00373,0.00373,1,0.000214,0,1,3,0.010626
4145,twins,3,3,6,0.267893,0.27657,0,0.00158,0.00158,1,0.000213,0,1,3,0.00481
708,checkoutthehair,3,3,6,0.267893,0.27657,0,0.00158,0.00158,1,0.000213,0,1,3,0.00481
2847,normal,3,3,4,0.358543,0.371537,73.238543,0.009701,0.009701,1,0.000214,0,0.666667,2,0.031994
3751,stickysituation,3,3,5,0.282614,0.293447,0,0.000992,0.000992,1,0.000215,0,1,3,0.006138
83,ah,3,3,5,0.282614,0.293447,0,0.000992,0.000992,1,0.000215,0,1,3,0.006138
314,basia,3,3,6,0.26318,0.269057,0,0.000519,0.000519,1,0.000213,0,1,3,0.002164
1939,ilikeit,3,3,6,0.26318,0.269057,0,0.000519,0.000519,1,0.000213,0,1,3,0.002164
4295,webcam,3,3,5,0.301265,0.313275,0,0.00419,0.00419,1,0.000212,0,1,3,0.011417
2638,models,3,3,5,0.301265,0.313275,0,0.00419,0.00419,1,0.000212,0,1,3,0.011417
757,clean,3,5,6,0.26694,0.275964,0,0.002247,0.002247,1,0.000217,0,1,3,0.006397
758,cleaning,3,5,6,0.26694,0.275964,0,0.002247,0.002247,1,0.000217,0,1,3,0.006397
1963,improvement,3,3,6,0.26694,0.275964,0,0.002247,0.002247,1,0.000216,0,1,3,0.006397
3605,skokie,3,3,6,0.26694,0.275964,0,0.002247,0.002247,1,0.000216,0,1,3,0.006397
1940,illinois,3,3,6,0.26694,0.275964,0,0.002247,0.002247,1,0.000216,0,1,3,0.006397
4345,whatson,3,6,5,0.310715,0.327029,0,0.006293,0.006293,1,0.000213,0,1,3,0.018216
892,croydon,3,6,5,0.310715,0.327029,0,0.006293,0.006293,1,0.000213,0,1,3,0.018216
669,carpet,3,3,6,0.26694,0.275964,0,0.002247,0.002247,1,0.000213,0,1,3,0.006397
3477,self,3,3,5,0.319158,0.325512,0,0.002388,0.002388,0,0.000209,0,1,3,0.007943
3711,sports,3,6,5,0.280608,0.288061,0,0.00141,0.00141,1,0.00021,0,1,3,0.004387
1437,fridays,3,3,5,0.31692,0.336619,0,0.008738,0.008738,1,0.000211,0,1,3,0.024385
2197,kms,3,6,5,0.282596,0.293409,0,0.000802,0.000802,1,0.000216,0,1,3,0.005669
3624,sm,3,6,5,0.282596,0.293409,0,0.000802,0.000802,1,0.000216,0,1,3,0.005669
2196,km,3,6,5,0.282596,0.293409,0,0.000802,0.000802,1,0.000216,0,1,3,0.005669
1483,g,3,15,5,0.32359,0.330706,20.36996,0.003666,0.003666,1,0.000209,0,0.333333,1,0.011302
2479,Lutevoice,3,3,5,0.310715,0.327029,0,0.006198,0.006198,1,0.000216,0,1,3,0.017893
2712,musicales,3,3,5,0.310715,0.327029,0,0.006198,0.006198,1,0.000216,0,1,3,0.017893
93,Alb�tre,3,3,5,0.310715,0.327029,0,0.006198,0.006198,1,0.000216,0,1,3,0.017893
112,allsmiles,3,3,5,0.334163,0.351363,0,0.013098,0.013098,1,0.000209,0,1,3,0.033609
1467,FUNK,3,3,4,0.357847,0.370389,0,0.011837,0.011837,1,0.000209,0,1,3,0.034246
327,bbcbreakfast,3,4,4,0.353054,0.364781,8.527778,0.008696,0.008696,1,0.000214,0,0.666667,2,0.027435
45,accomplished,3,3,5,0.297701,0.308416,0,0.001295,0.001295,1,0.000213,0,1,3,0.006635
1888,hpybdaydad,3,3,5,0.297701,0.308416,0,0.001295,0.001295,1,0.000213,0,1,3,0.006635
2482,LV2013,3,3,5,0.310715,0.327029,0,0.006198,0.006198,1,0.000212,0,1,3,0.017893
3701,Speedway,3,3,5,0.318332,0.327981,0,0.00443,0.00443,1,0.000211,0,1,3,0.012575
3861,TakeOnTheTour,3,3,5,0.302046,0.311153,0,0.002173,0.002173,1,0.000212,0,1,3,0.007497
3771,strava,3,3,5,0.302046,0.311153,0,0.002173,0.002173,1,0.000212,0,1,3,0.007497
4284,WayTooDamnHot,3,3,5,0.282596,0.293409,0,0.000802,0.000802,1,0.000216,0,1,3,0.005669
1801,HeatWaveInCali,3,3,5,0.282596,0.293409,0,0.000802,0.000802,1,0.000216,0,1,3,0.005669
1773,HASHTAGS,3,3,5,0.282596,0.293409,0,0.000802,0.000802,1,0.000216,0,1,3,0.005669
1830,HighGreen,3,3,5,0.272828,0.279505,0,0.000619,0.000619,1,0.000213,0,1,3,0.002719
3935,ThaKnows,3,3,5,0.272828,0.279505,0,0.000619,0.000619,1,0.000213,0,1,3,0.002719
3351,rocksoff,3,3,5,0.277218,0.285095,0,0.000816,0.000816,1,0.000216,0,1,3,0.003355
2200,k�ket,3,3,5,0.277218,0.285095,0,0.000816,0.000816,1,0.000216,0,1,3,0.003355
2201,k�ketuddevalla,3,3,5,0.277218,0.285095,0,0.000816,0.000816,1,0.000216,0,1,3,0.003355
2619,minicab,3,3,4,0.353476,0.365346,0,0.008515,0.008515,1,0.00021,0,1,3,0.027212
4358,Whitehorse,3,3,5,0.32359,0.342871,0,0.010769,0.010769,1,0.000212,0,1,3,0.028618
1023,ditching,3,3,5,0.32359,0.342871,0,0.010769,0.010769,1,0.000212,0,1,3,0.028618
2173,kilkenny,3,3,5,0.319181,0.334218,0,0.006291,0.006291,1,0.000214,0,1,3,0.018255
2175,kilmoganny,3,3,5,0.319181,0.334218,0,0.006291,0.006291,1,0.000214,0,1,3,0.018255
966,DeCorazon,3,3,5,0.291258,0.300437,0,0.001454,0.001454,1,0.000216,0,1,3,0.005348
733,Chingon,3,3,5,0.291258,0.300437,0,0.001454,0.001454,1,0.000216,0,1,3,0.005348
2076,JAJA,3,3,5,0.291258,0.300437,0,0.001454,0.001454,1,0.000216,0,1,3,0.005348
1864,HoodRatz,3,3,5,0.314511,0.335848,0,0.009142,0.009142,1,0.000212,0,1,3,0.025778
10,20thBirthday,3,3,5,0.314511,0.335848,0,0.009142,0.009142,1,0.000212,0,1,3,0.025778
2426,lostonme,3,3,4,0.352492,0.364028,0,0.007839,0.007839,1,0.000211,0,1,3,0.025034
3675,sorry,3,8,4,0.352492,0.364028,0,0.007839,0.007839,1,0.000214,0,1,3,0.025034
3378,rtwbdaywknd2013,3,3,5,0.31159,0.332046,0,0.008312,0.008312,1,0.000212,0,1,3,0.023456
580,bsidedivas,3,3,5,0.31159,0.332046,0,0.008312,0.008312,1,0.000212,0,1,3,0.023456
239,AVB,3,3,5,0.308981,0.324439,0,0.002964,0.002964,1,0.000216,0,1,3,0.014264
3857,takeahandful,3,3,5,0.308981,0.324439,0,0.002964,0.002964,1,0.000216,0,1,3,0.014264
3,12points,3,3,5,0.308981,0.324439,0,0.002964,0.002964,1,0.000216,0,1,3,0.014264
2378,livelions,3,5,5,0.309067,0.32459,1.253968,0.003472,0.003472,1,0.000214,0,0.666667,2,0.015862
